UF;NOME DO MUNICÍPIO;country;population;ibgeID
RS;Mampituba;Brazil;2981;4311734
AM;Manacapuru;Brazil;97377;1302504
PB;Manaíra;Brazil;10955;2509008
AM;Manaquiri;Brazil;32105;1302553
PE;Manari;Brazil;21434;2609154
AM;Manaus;Brazil;2182763;1302603
AC;Mâncio Lima;Brazil;18977;1200336
PR;Mandaguaçu;Brazil;22819;4114104
PR;Mandaguari;Brazil;34400;4114203
PR;Mandirituba;Brazil;26869;4114302
SP;Manduri;Brazil;9846;3528601
PR;Manfrinópolis;Brazil;2571;4114351
MG;Manga;Brazil;18407;3139300
RJ;Mangaratiba;Brazil;44468;3302601
PR;Mangueirinha;Brazil;16714;4114401
MG;Manhuaçu;Brazil;90229;3139409
MG;Manhumirim;Brazil;22707;3139508
AM;Manicoré;Brazil;55751;1302702
PI;Manoel Emídio;Brazil;5349;2205904
PR;Manoel Ribas;Brazil;13502;4114500
AC;Manoel Urbano;Brazil;9459;1200344
RS;Manoel Viana;Brazil;7299;4311759
BA;Manoel Vitorino;Brazil;13240;2920403
BA;Mansidão;Brazil;13643;2920452
MG;Mantena;Brazil;27644;3139607
ES;Mantenópolis;Brazil;15350;3203304
RS;Maquiné;Brazil;6714;4311775
MG;Mar de Espanha;Brazil;12814;3139805
AL;Mar Vermelho;Brazil;3514;2704906
GO;Mara Rosa;Brazil;9503;5212808
AM;Maraã;Brazil;18224;1302801
PA;Marabá;Brazil;279349;1504208
SP;Marabá Paulista;Brazil;5853;3528700
MA;Maracaçumé;Brazil;21395;2106326
SP;Maracaí;Brazil;14002;3528809
SC;Maracajá;Brazil;7293;4210407
MS;Maracaju;Brazil;47083;5005400
PA;Maracanã;Brazil;29473;1504307
CE;Maracanaú;Brazil;227886;2307650
BA;Maracás;Brazil;20834;2920502
AL;Maragogi;Brazil;32704;2704500
BA;Maragogipe;Brazil;44677;2920601
PE;Maraial;Brazil;11345;2609204
MA;Marajá do Sena;Brazil;7792;2106359
CE;Maranguape;Brazil;128978;2307700
MA;Maranhãozinho;Brazil;16265;2106375
PA;Marapanim;Brazil;28336;1504406
SP;Marapoama;Brazil;3031;3528858
RS;Maratá;Brazil;2691;4311791
ES;Marataízes;Brazil;38499;3203320
RS;Marau;Brazil;44161;4311809
BA;Maraú;Brazil;20570;2920700
AL;Maravilha;Brazil;9163;2704609
SC;Maravilha;Brazil;25762;4210506
MG;Maravilhas;Brazil;7976;3139706
PB;Marcação;Brazil;8558;2509057
MT;Marcelândia;Brazil;10499;5105580
RS;Marcelino Ramos;Brazil;4402;4311908
RN;Marcelino Vieira;Brazil;8347;2407302
BA;Marcionílio Souza;Brazil;10406;2920809
CE;Marco;Brazil;27361;2307809
PI;Marcolândia;Brazil;8492;2205953
PI;Marcos Parente;Brazil;4549;2206001
PR;Marechal Cândido Rondon;Brazil;52944;4114609
AL;Marechal Deodoro;Brazil;51901;2704708
ES;Marechal Floriano;Brazil;16694;3203346
AC;Marechal Thaumaturgo;Brazil;18867;1200351
SC;Marema;Brazil;1797;4210555
PB;Mari;Brazil;21837;2509107
MG;Maria da Fé;Brazil;14095;3139904
PR;Maria Helena;Brazil;5677;4114708
PR;Marialva;Brazil;35496;4114807
MG;Mariana;Brazil;60724;3140001
RS;Mariana Pimentel;Brazil;3885;4311981
RS;Mariano Moro;Brazil;2031;4312005
TO;Marianópolis do Tocantins;Brazil;5175;1712504
SP;Mariápolis;Brazil;4084;3528908
AL;Maribondo;Brazil;13264;2704807
RJ;Maricá;Brazil;161207;3302700
MG;Marilac;Brazil;4115;3140100
ES;Marilândia;Brazil;12833;3203353
PR;Marilândia do Sul;Brazil;8836;4114906
PR;Marilena;Brazil;7076;4115002
SP;Marília;Brazil;238882;3529005
PR;Mariluz;Brazil;10345;4115101
PR;Maringá;Brazil;423666;4115200
SP;Marinópolis;Brazil;2112;3529104
MG;Mário Campos;Brazil;15416;3140159
PR;Mariópolis;Brazil;6610;4115309
PR;Maripá;Brazil;5603;4115358
MG;Maripá de Minas;Brazil;2973;3140209
PA;Marituba;Brazil;131521;1504422
PB;Marizópolis;Brazil;6617;2509156
MG;Marliéria;Brazil;4039;3140308
PR;Marmeleiro;Brazil;14367;4115408
MG;Marmelópolis;Brazil;2755;3140407
RS;Marques de Souza;Brazil;4009;4312054
PR;Marquinho;Brazil;4405;4115457
MG;Martinho Campos;Brazil;13388;3140506
CE;Martinópole;Brazil;11233;2307908
SP;Martinópolis;Brazil;26461;3529203
RN;Martins;Brazil;8725;2407401
MG;Martins Soares;Brazil;8417;3140530
SE;Maruim;Brazil;17213;2804003
PR;Marumbi;Brazil;4679;4115507
GO;Marzagão;Brazil;2236;5212907
BA;Mascote;Brazil;13822;2920908
CE;Massapê;Brazil;38737;2308005
PI;Massapê do Piauí;Brazil;6441;2206050
PB;Massaranduba;Brazil;13918;2509206
SC;Massaranduba;Brazil;16916;4210605
RS;Mata;Brazil;4823;4312104
BA;Mata de São João;Brazil;46583;2921005
AL;Mata Grande;Brazil;25216;2705002
MA;Mata Roma;Brazil;16829;2106409
MG;Mata Verde;Brazil;8586;3140555
SP;Matão;Brazil;83170;3529302
PB;Mataraca;Brazil;8434;2509305
TO;Mateiros;Brazil;2684;1712702
PR;Matelândia;Brazil;17943;4115606
MG;Materlândia;Brazil;4459;3140605
MG;Mateus Leme;Brazil;31086;3140704
MG;Mathias Lobato;Brazil;3203;3171501
MG;Matias Barbosa;Brazil;14468;3140803
MG;Matias Cardoso;Brazil;11157;3140852
PI;Matias Olímpio;Brazil;10936;2206100
BA;Matina;Brazil;12201;2921054
MA;Matinha;Brazil;23370;2106508
PB;Matinhas;Brazil;4500;2509339
PR;Matinhos;Brazil;34720;4115705
MG;Matipó;Brazil;18908;3140902
RS;Mato Castelhano;Brazil;2540;4312138
PB;Mato Grosso;Brazil;2908;2509370
RS;Mato Leitão;Brazil;4515;4312153
RS;Mato Queimado;Brazil;1648;4312179
PR;Mato Rico;Brazil;3272;4115739
MG;Mato Verde;Brazil;12459;3141009
MA;Matões;Brazil;33782;2106607
MA;Matões do Norte;Brazil;16745;2106631
SC;Matos Costa;Brazil;2520;4210704
MG;Matozinhos;Brazil;37820;3141108
GO;Matrinchã;Brazil;4351;5212956
AL;Matriz de Camaragibe;Brazil;24642;2705101
MT;Matupá;Brazil;16566;5105606
PB;Maturéia;Brazil;6569;2509396
MG;Matutina;Brazil;3749;3141207
SP;Mauá;Brazil;472912;3529401
PR;Mauá da Serra;Brazil;10601;4115754
AM;Maués;Brazil;63905;1302900
GO;Maurilândia;Brazil;14080;5213004
TO;Maurilândia do Tocantins;Brazil;3426;1712801
CE;Mauriti;Brazil;47962;2308104
RN;Maxaranguape;Brazil;12371;2407500
RS;Maximiliano de Almeida;Brazil;4377;4312203
AP;Mazagão;Brazil;21632;1600402
MG;Medeiros;Brazil;3802;3141306
BA;Medeiros Neto;Brazil;22688;2921104
PR;Medianeira;Brazil;46198;4115804
PA;Medicilândia;Brazil;31597;1504455
MG;Medina;Brazil;20820;3141405
SC;Meleiro;Brazil;7015;4210803
PA;Melgaço;Brazil;27654;1504505
RJ;Mendes;Brazil;18614;3302809
MG;Mendes Pimentel;Brazil;6446;3141504
SP;Mendonça;Brazil;5490;3529500
PR;Mercedes;Brazil;5536;4115853
MG;Mercês;Brazil;10739;3141603
SP;Meridiano;Brazil;3836;3529609
CE;Meruoca;Brazil;15057;2308203
SP;Mesópolis;Brazil;1908;3529658
MG;Mesquita;Brazil;5605;3141702
RJ;Mesquita;Brazil;176103;3302858
AL;Messias;Brazil;17856;2705200
RN;Messias Targino;Brazil;4601;2407609
PI;Miguel Alves;Brazil;33760;2206209
BA;Miguel Calmon;Brazil;26023;2921203
PI;Miguel Leão;Brazil;1246;2206308
RJ;Miguel Pereira;Brazil;25538;3302908
SP;Miguelópolis;Brazil;22226;3529708
CE;Milagres;Brazil;27512;2308302
BA;Milagres;Brazil;10950;2921302
MA;Milagres do Maranhão;Brazil;8464;2106672
CE;Milhã;Brazil;13155;2308351
PI;Milton Brandão;Brazil;6613;2206357
GO;Mimoso de Goiás;Brazil;2597;5213053
ES;Mimoso do Sul;Brazil;26153;3203403
GO;Minaçu;Brazil;29070;5213087
AL;Minador do Negrão;Brazil;5329;2705309
RS;Minas do Leão;Brazil;8075;4312252
MG;Minas Novas;Brazil;31484;3141801
MG;Minduri;Brazil;3894;3141900
GO;Mineiros;Brazil;66801;5213103
SP;Mineiros do Tietê;Brazil;12908;3529807
RO;Ministro Andreazza;Brazil;9660;1101203
SP;Mira Estrela;Brazil;3086;3530003
MG;Mirabela;Brazil;13589;3142007
SP;Miracatu;Brazil;19779;3529906
RJ;Miracema;Brazil;27174;3303005
TO;Miracema do Tocantins;Brazil;18248;1713205
MA;Mirador;Brazil;21015;2106706
PR;Mirador;Brazil;2213;4115903
MG;Miradouro;Brazil;10754;3142106
RS;Miraguaí;Brazil;4925;4312302
MG;Miraí;Brazil;15014;3142205
CE;Miraíma;Brazil;13818;2308377
MS;Miranda;Brazil;28013;5005608
MA;Miranda do Norte;Brazil;28381;2106755
PE;Mirandiba;Brazil;15390;2609303
SP;Mirandópolis;Brazil;29564;3530102
BA;Mirangaba;Brazil;18338;2921401
TO;Miranorte;Brazil;13434;1713304
BA;Mirante;Brazil;8641;2921450
RO;Mirante da Serra;Brazil;10947;1101302
SP;Mirante do Paranapanema;Brazil;18259;3530201
PR;Miraselva;Brazil;1806;4116000
SP;Mirassol;Brazil;59824;3530300
MT;Mirassol d'Oeste;Brazil;27739;5105622
SP;Mirassolândia;Brazil;4871;3530409
MG;Miravânia;Brazil;4888;3142254
SC;Mirim Doce;Brazil;2309;4210852
MA;Mirinzal;Brazil;14962;2106805
PR;Missal;Brazil;10702;4116059
CE;Missão Velha;Brazil;36442;2308401
PA;Mocajuba;Brazil;31136;1504604
SP;Mococa;Brazil;68885;3530508
SC;Modelo;Brazil;4209;4210902
MG;Moeda;Brazil;4919;3142304
MG;Moema;Brazil;7517;3142403
PB;Mogeiro;Brazil;13284;2509404
SP;Mogi das Cruzes;Brazil;445842;3530607
SP;Mogi Guaçu;Brazil;151888;3530706
SP;Mogi Mirim;Brazil;93189;3530805
GO;Moiporá;Brazil;1529;5213400
SE;Moita Bonita;Brazil;11335;2804102
PA;Moju;Brazil;82094;1504703
PA;Mojuí dos Campos;Brazil;16084;1504752
CE;Mombaça;Brazil;43797;2308500
SP;Mombuca;Brazil;3493;3530904
MA;Monção;Brazil;33434;2106904
SP;Monções;Brazil;2259;3531001
SC;Mondaí;Brazil;11742;4211009
SP;Mongaguá;Brazil;56702;3531100
MG;Monjolos;Brazil;2220;3142502
PI;Monsenhor Gil;Brazil;10564;2206407
PI;Monsenhor Hipólito;Brazil;7749;2206506
MG;Monsenhor Paulo;Brazil;8688;3142601
CE;Monsenhor Tabosa;Brazil;17234;2308609
PB;Montadas;Brazil;5669;2509503
MG;Montalvânia;Brazil;14877;3142700
ES;Montanha;Brazil;18833;3203502
RN;Montanhas;Brazil;11251;2407708
RS;Montauri;Brazil;1453;4312351
PA;Monte Alegre;Brazil;58032;1504802
RN;Monte Alegre;Brazil;22451;2407807
GO;Monte Alegre de Goiás;Brazil;8606;5213509
MG;Monte Alegre de Minas;Brazil;21120;3142809
SE;Monte Alegre de Sergipe;Brazil;15031;2804201
PI;Monte Alegre do Piauí;Brazil;10613;2206605
SP;Monte Alegre do Sul;Brazil;8038;3531209
RS;Monte Alegre dos Campos;Brazil;3226;4312377
SP;Monte Alto;Brazil;50498;3531308
SP;Monte Aprazível;Brazil;25087;3531407
MG;Monte Azul;Brazil;20854;3142908
SP;Monte Azul Paulista;Brazil;19008;3531506
MG;Monte Belo;Brazil;13166;3143005
RS;Monte Belo do Sul;Brazil;2548;4312385
SC;Monte Carlo;Brazil;9866;4211058
MG;Monte Carmelo;Brazil;47809;3143104
SP;Monte Castelo;Brazil;4166;3531605
SC;Monte Castelo;Brazil;8275;4211108
RN;Monte das Gameleiras;Brazil;2105;2407906
TO;Monte do Carmo;Brazil;7947;1713601
MG;Monte Formoso;Brazil;4906;3143153
PB;Monte Horebe;Brazil;4816;2509602
SP;Monte Mor;Brazil;59772;3531803
RO;Monte Negro;Brazil;15852;1101401
BA;Monte Santo;Brazil;49418;2921500
MG;Monte Santo de Minas;Brazil;21524;3143203
TO;Monte Santo do Tocantins;Brazil;2279;1713700
MG;Monte Sião;Brazil;23803;3143401
PB;Monteiro;Brazil;33222;2509701
SP;Monteiro Lobato;Brazil;4653;3531704
AL;Monteirópolis;Brazil;7159;2705408
RS;Montenegro;Brazil;65264;4312401
MA;Montes Altos;Brazil;9160;2107001
MG;Montes Claros;Brazil;409341;3143302
GO;Montes Claros de Goiás;Brazil;8055;5213707
MG;Montezuma;Brazil;8249;3143450
GO;Montividiu;Brazil;13396;5213756
GO;Montividiu do Norte;Brazil;4479;5213772
CE;Morada Nova;Brazil;61890;2308708
MG;Morada Nova de Minas;Brazil;8863;3143500
CE;Moraújo;Brazil;8724;2308807
PE;Moreilândia;Brazil;11270;2614303
PR;Moreira Sales;Brazil;12121;4116109
PE;Moreno;Brazil;62784;2609402
RS;Mormaço;Brazil;3085;4312427
BA;Morpará;Brazil;8519;2921609
PR;Morretes;Brazil;16406;4116208
CE;Morrinhos;Brazil;22534;2308906
GO;Morrinhos;Brazil;46136;5213806
RS;Morrinhos do Sul;Brazil;2949;4312443
SP;Morro Agudo;Brazil;32968;3531902
GO;Morro Agudo de Goiás;Brazil;2248;5213855
PI;Morro Cabeça no Tempo;Brazil;4532;2206654
SC;Morro da Fumaça;Brazil;17796;4211207
MG;Morro da Garça;Brazil;2462;3143609
BA;Morro do Chapéu;Brazil;35413;2921708
PI;Morro do Chapéu do Piauí;Brazil;6796;2206670
MG;Morro do Pilar;Brazil;3182;3143708
SC;Morro Grande;Brazil;2893;4211256
RS;Morro Redondo;Brazil;6568;4312450
RS;Morro Reuter;Brazil;6407;4312476
MA;Morros;Brazil;19433;2107100
BA;Mortugaba;Brazil;12042;2921807
SP;Morungaba;Brazil;13622;3532009
GO;Mossâmedes;Brazil;4290;5213905
RN;Mossoró;Brazil;297378;2408003
RS;Mostardas;Brazil;12804;4312500
SP;Motuca;Brazil;4758;3532058
GO;Mozarlândia;Brazil;15659;5214002
PA;Muaná;Brazil;40349;1504901
RR;Mucajaí;Brazil;17853;1400308
CE;Mucambo;Brazil;14537;2309003
BA;Mucugê;Brazil;9062;2921906
RS;Muçum;Brazil;4954;4312609
BA;Mucuri;Brazil;41748;2922003
ES;Mucurici;Brazil;5524;3203601
RS;Muitos Capões;Brazil;3162;4312617
RS;Muliterno;Brazil;1893;4312625
CE;Mulungu;Brazil;10823;2309102
PB;Mulungu;Brazil;9902;2509800
BA;Mulungu do Morro;Brazil;10889;2922052
BA;Mundo Novo;Brazil;26776;2922102
MS;Mundo Novo;Brazil;18366;5005681
GO;Mundo Novo;Brazil;4887;5214051
MG;Munhoz;Brazil;6029;3143807
PR;Munhoz de Melo;Brazil;3984;4116307
BA;Muniz Ferreira;Brazil;7422;2922201
ES;Muniz Freire;Brazil;17465;3203700
BA;Muquém de São Francisco;Brazil;11348;2922250
ES;Muqui;Brazil;15449;3203809
MG;Muriaé;Brazil;108763;3143906
SE;Muribeca;Brazil;7625;2804300
AL;Murici;Brazil;28236;2705507
PI;Murici dos Portelas;Brazil;9159;2206696
TO;Muricilândia;Brazil;3551;1713957
BA;Muritiba;Brazil;29399;2922300
SP;Murutinga do Sul;Brazil;4486;3532108
BA;Mutuípe;Brazil;22221;2922409
MG;Mutum;Brazil;26979;3144003
GO;Mutunópolis;Brazil;3778;5214101
MG;Muzambinho;Brazil;20569;3144102
MG;Nacip Raydan;Brazil;3220;3144201
SP;Nantes;Brazil;3141;3532157
MG;Nanuque;Brazil;40750;3144300
RS;Não-Me-Toque;Brazil;17624;4312658
MG;Naque;Brazil;6996;3144359
SP;Narandiba;Brazil;4857;3532207
RN;Natal;Brazil;884122;2408102
MG;Natalândia;Brazil;3311;3144375
MG;Natércia;Brazil;4730;3144409
TO;Natividade;Brazil;9244;1714203
RJ;Natividade;Brazil;15317;3303104
SP;Natividade da Serra;Brazil;6661;3532306
PB;Natuba;Brazil;10454;2509909
SC;Navegantes;Brazil;81475;4211306
MS;Naviraí;Brazil;54878;5005707
TO;Nazaré;Brazil;3898;1714302
BA;Nazaré;Brazil;28525;2922508
PE;Nazaré da Mata;Brazil;32471;2609501
PI;Nazaré do Piauí;Brazil;7339;2206704
SP;Nazaré Paulista;Brazil;18524;3532405
MG;Nazareno;Brazil;8608;3144508
PB;Nazarezinho;Brazil;7301;2510006
PI;Nazária;Brazil;8570;2206720
GO;Nazário;Brazil;9142;5214408
SE;Neópolis;Brazil;18719;2804409
MG;Nepomuceno;Brazil;26769;3144607
GO;Nerópolis;Brazil;29850;5214507
SP;Neves Paulista;Brazil;8930;3532504
AM;Nhamundá;Brazil;21173;1303007
SP;Nhandeara;Brazil;11478;3532603
RS;Nicolau Vergueiro;Brazil;1682;4312674
BA;Nilo Peçanha;Brazil;13997;2922607
RJ;Nilópolis;Brazil;162485;3303203
MA;Nina Rodrigues;Brazil;14454;2107209
MG;Ninheira;Brazil;10295;3144656
MS;Nioaque;Brazil;13930;5005806
SP;Nipoã;Brazil;5213;3532702
GO;Niquelândia;Brazil;46388;5214606
RN;Nísia Floresta;Brazil;27602;2408201
RJ;Niterói;Brazil;513584;3303302
MT;Nobres;Brazil;15336;5105903
RS;Nonoai;Brazil;11695;4312708
BA;Nordestina;Brazil;13130;2922656
RR;Normandia;Brazil;11290;1400407
MT;Nortelândia;Brazil;5989;5106000
SE;Nossa Senhora Aparecida;Brazil;8796;2804458
SE;Nossa Senhora da Glória;Brazil;36924;2804508
SE;Nossa Senhora das Dores;Brazil;26629;2804607
PR;Nossa Senhora das Graças;Brazil;4008;4116406
SE;Nossa Senhora de Lourdes;Brazil;6483;2804706
PI;Nossa Senhora de Nazaré;Brazil;4870;2206753
MT;Nossa Senhora do Livramento;Brazil;13216;5106109
SE;Nossa Senhora do Socorro;Brazil;183628;2804805
PI;Nossa Senhora dos Remédios;Brazil;8692;2206803
SP;Nova Aliança;Brazil;6973;3532801
PR;Nova Aliança do Ivaí;Brazil;1543;4116505
RS;Nova Alvorada;Brazil;3625;4312757
MS;Nova Alvorada do Sul;Brazil;21882;5006002
GO;Nova América;Brazil;2352;5214705
PR;Nova América da Colina;Brazil;3445;4116604
MS;Nova Andradina;Brazil;54374;5006200
RS;Nova Araçá;Brazil;4759;4312807
PR;Nova Aurora;Brazil;10472;4116703
GO;Nova Aurora;Brazil;2210;5214804
MT;Nova Bandeirantes;Brazil;15288;5106158
RS;Nova Bassano;Brazil;9916;4312906
MG;Nova Belém;Brazil;3190;3144672
RS;Nova Boa Vista;Brazil;1775;4312955
MT;Nova Brasilândia;Brazil;3829;5106208
RO;Nova Brasilândia D'Oeste;Brazil;20474;1100148
RS;Nova Bréscia;Brazil;3330;4313003
SP;Nova Campina;Brazil;9755;3532827
BA;Nova Canaã;Brazil;16462;2922706
MT;Nova Canaã do Norte;Brazil;12787;5106216
SP;Nova Canaã Paulista;Brazil;1881;3532843
RS;Nova Candelária;Brazil;2698;4313011
PR;Nova Cantu;Brazil;5302;4116802
SP;Nova Castilho;Brazil;1267;3532868
MA;Nova Colinas;Brazil;5384;2107258
GO;Nova Crixás;Brazil;12869;5214838
RN;Nova Cruz;Brazil;37343;2408300
MG;Nova Era;Brazil;17578;3144706
SC;Nova Erechim;Brazil;5019;4211405
PR;Nova Esperança;Brazil;27904;4116901
PA;Nova Esperança do Piriá;Brazil;21368;1504950
PR;Nova Esperança do Sudoeste;Brazil;5046;4116950
RS;Nova Esperança do Sul;Brazil;5352;4313037
SP;Nova Europa;Brazil;11186;3532900
BA;Nova Fátima;Brazil;7812;2922730
PR;Nova Fátima;Brazil;8153;4117008
PB;Nova Floresta;Brazil;10638;2510105
RJ;Nova Friburgo;Brazil;190631;3303401
GO;Nova Glória;Brazil;8164;5214861
SP;Nova Granada;Brazil;21500;3533007
MT;Nova Guarita;Brazil;4519;5108808
SP;Nova Guataporanga;Brazil;2316;3533106
RS;Nova Hartz;Brazil;21615;4313060
BA;Nova Ibiá;Brazil;6591;2922755
RJ;Nova Iguaçu;Brazil;821128;3303500
GO;Nova Iguaçu de Goiás;Brazil;2929;5214879
SP;Nova Independência;Brazil;3969;3533205
MA;Nova Iorque;Brazil;4683;2107308
PA;Nova Ipixuna;Brazil;16678;1504976
SC;Nova Itaberaba;Brazil;4331;4211454
BA;Nova Itarana;Brazil;8226;2922805
MT;Nova Lacerda;Brazil;6640;5106182
PR;Nova Laranjeiras;Brazil;11554;4117057
MG;Nova Lima;Brazil;94889;3144805
PR;Nova Londrina;Brazil;13213;4117107
SP;Nova Luzitânia;Brazil;4101;3533304
RO;Nova Mamoré;Brazil;30583;1100338
MT;Nova Marilândia;Brazil;3278;5108857
MT;Nova Maringá;Brazil;8641;5108907
MG;Nova Módica;Brazil;3600;3144904
MT;Nova Monte Verde;Brazil;9178;5108956
MT;Nova Mutum;Brazil;45378;5106224
MT;Nova Nazaré;Brazil;3849;5106174
SP;Nova Odessa;Brazil;60174;3533403
PR;Nova Olímpia;Brazil;5806;4117206
MT;Nova Olímpia;Brazil;20301;5106232
TO;Nova Olinda;Brazil;11819;1714880
CE;Nova Olinda;Brazil;15565;2309201
PB;Nova Olinda;Brazil;5949;2510204
MA;Nova Olinda do Maranhão;Brazil;20928;2107357
AM;Nova Olinda do Norte;Brazil;37378;1303106
RS;Nova Pádua;Brazil;2553;4313086
RS;Nova Palma;Brazil;6512;4313102
PB;Nova Palmeira;Brazil;4906;2510303
RS;Nova Petrópolis;Brazil;21353;4313201
MG;Nova Ponte;Brazil;15545;3145000
MG;Nova Porteirinha;Brazil;7500;3145059
RS;Nova Prata;Brazil;27257;4313300
PR;Nova Prata do Iguaçu;Brazil;10548;4117255
RS;Nova Ramada;Brazil;2242;4313334
BA;Nova Redenção;Brazil;9118;2922854
MG;Nova Resende;Brazil;16723;3145109
GO;Nova Roma;Brazil;3264;5214903
RS;Nova Roma do Sul;Brazil;3689;4313359
TO;Nova Rosalândia;Brazil;4260;1715002
CE;Nova Russas;Brazil;32328;2309300
PR;Nova Santa Bárbara;Brazil;4249;4117214
MT;Nova Santa Helena;Brazil;3718;5106190
PI;Nova Santa Rita;Brazil;4374;2207959
RS;Nova Santa Rita;Brazil;29300;4313375
PR;Nova Santa Rosa;Brazil;8219;4117222
MG;Nova Serrana;Brazil;102693;3145208
BA;Nova Soure;Brazil;26947;2922904
PR;Nova Tebas;Brazil;5649;4117271
PA;Nova Timboteua;Brazil;15363;1505007
SC;Nova Trento;Brazil;14549;4211504
MT;Nova Ubiratã;Brazil;11982;5106240
RO;Nova União;Brazil;6970;1101435
MG;Nova União;Brazil;5725;3136603
ES;Nova Venécia;Brazil;50110;3203908
SC;Nova Veneza;Brazil;15166;4211603
GO;Nova Veneza;Brazil;9853;5215009
BA;Nova Viçosa;Brazil;43376;2923001
MT;Nova Xavantina;Brazil;21374;5106257
SP;Novais;Brazil;5830;3533254
TO;Novo Acordo;Brazil;4342;1715101
AM;Novo Airão;Brazil;19454;1303205
TO;Novo Alegre;Brazil;2332;1715150
AM;Novo Aripuanã;Brazil;25644;1303304
RS;Novo Barreiro;Brazil;4164;4313490
GO;Novo Brasil;Brazil;2913;5215207
RS;Novo Cabrais;Brazil;4196;4313391
MG;Novo Cruzeiro;Brazil;31331;3145307
GO;Novo Gama;Brazil;115711;5215231
RS;Novo Hamburgo;Brazil;246748;4313409
BA;Novo Horizonte;Brazil;12385;2923035
SP;Novo Horizonte;Brazil;41052;3533502
SC;Novo Horizonte;Brazil;2442;4211652
MT;Novo Horizonte do Norte;Brazil;4004;5106273
RO;Novo Horizonte do Oeste;Brazil;8538;1100502
MS;Novo Horizonte do Sul;Brazil;3814;5006259
PR;Novo Itacolomi;Brazil;2844;4117297
TO;Novo Jardim;Brazil;2722;1715259
AL;Novo Lino;Brazil;12690;2705606
RS;Novo Machado;Brazil;3323;4313425
MT;Novo Mundo;Brazil;9178;5106265
CE;Novo Oriente;Brazil;28607;2309409
MG;Novo Oriente de Minas;Brazil;10755;3145356
PI;Novo Oriente do Piauí;Brazil;6565;2206902
GO;Novo Planalto;Brazil;4495;5215256
PA;Novo Progresso;Brazil;25762;1505031
PA;Novo Repartimento;Brazil;75919;1505064
PI;Novo Santo Antônio;Brazil;2991;2206951
MT;Novo Santo Antônio;Brazil;2640;5106315
MT;Novo São Joaquim;Brazil;5074;5106281
RS;Novo Tiradentes;Brazil;2211;4313441
BA;Novo Triunfo;Brazil;15440;2923050
RS;Novo Xingu;Brazil;1719;4313466
MG;Novorizonte;Brazil;5299;3145372
SP;Nuporanga;Brazil;7432;3533601
PA;Óbidos;Brazil;52137;1505106
CE;Ocara;Brazil;25703;2309458
SP;Ocauçu;Brazil;4289;3533700
PI;Oeiras;Brazil;37029;2207009
PA;Oeiras do Pará;Brazil;32512;1505205
AP;Oiapoque;Brazil;27270;1600501
MG;Olaria;Brazil;1747;3145406
SP;Óleo;Brazil;2496;3533809
PB;Olho d'Água;Brazil;6526;2510402
MA;Olho d'Água das Cunhãs;Brazil;19505;2107407
AL;Olho d'Água das Flores;Brazil;21688;2705705
AL;Olho d'Água do Casado;Brazil;9373;2705804
PI;Olho D'Água do Piauí;Brazil;2459;2207108
AL;Olho d'Água Grande;Brazil;5123;2705903
RN;Olho-d'Água do Borges;Brazil;4258;2408409
MG;Olhos-d'Água;Brazil;6096;3145455
SP;Olímpia;Brazil;54772;3533908
MG;Olímpio Noronha;Brazil;2787;3145505
PE;Olinda;Brazil;392482;2609600
MA;Olinda Nova do Maranhão;Brazil;14701;2107456
BA;Olindina;Brazil;28229;2923100
PB;Olivedos;Brazil;3932;2510501
MG;Oliveira;Brazil;41687;3145604
TO;Oliveira de Fátima;Brazil;1112;1715507
BA;Oliveira dos Brejinhos;Brazil;21825;2923209
MG;Oliveira Fortes;Brazil;2133;3145703
AL;Olivença;Brazil;11624;2706000
MG;Onça de Pitangui;Brazil;3148;3145802
SP;Onda Verde;Brazil;4381;3534005
MG;Oratórios;Brazil;4655;3145851
SP;Oriente;Brazil;6515;3534104
SP;Orindiúva;Brazil;7066;3534203
PA;Oriximiná;Brazil;73096;1505304
MG;Orizânia;Brazil;8018;3145877
GO;Orizona;Brazil;15615;5215306
SP;Orlândia;Brazil;44028;3534302
SC;Orleans;Brazil;22912;4211702
PE;Orobó;Brazil;23884;2609709
PE;Orocó;Brazil;14991;2609808
CE;Orós;Brazil;21427;2309508
PR;Ortigueira;Brazil;22141;4117305
SP;Osasco;Brazil;698418;3534401
SP;Oscar Bressane;Brazil;2603;3534500
RS;Osório;Brazil;45994;4313508
SP;Osvaldo Cruz;Brazil;32879;3534609
SC;Otacílio Costa;Brazil;18744;4211751
PA;Ourém;Brazil;17842;1505403
BA;Ouriçangas;Brazil;8564;2923308
PE;Ouricuri;Brazil;69459;2609907
PA;Ourilândia do Norte;Brazil;32832;1505437
SP;Ourinhos;Brazil;113542;3534708
PR;Ourizona;Brazil;3428;4117404
SC;Ouro;Brazil;7295;4211801
RN;Ouro Branco;Brazil;4812;2408508
AL;Ouro Branco;Brazil;11496;2706109
MG;Ouro Branco;Brazil;39500;3145901
MG;Ouro Fino;Brazil;33639;3146008
MG;Ouro Preto;Brazil;74281;3146107
RO;Ouro Preto do Oeste;Brazil;36035;1100155
PB;Ouro Velho;Brazil;3039;2510600
SP;Ouro Verde;Brazil;8562;3534807
SC;Ouro Verde;Brazil;2217;4211850
GO;Ouro Verde de Goiás;Brazil;3759;5215405
MG;Ouro Verde de Minas;Brazil;5934;3146206
